Factorisations Of Cunningham Numbers C-(3,n) = 3^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
 384    34  2^9.5.7.13.17.41.73.97.193.577.769.6481.7297.68737.76801.280321.15687169.21523361.96948097.339601921.241275\
            52321.3167109739009.70613232600577.926510094425921.2492798330262060062236523521.171684191014625624232892454\
            4641
 385    18  2.11^3.23.71.1093.1321.3851.225611.868561.51457561.2664097031.7151459701.76831835389.560088668384411.107589\
            04556355084920587039558086313081.2287029449459702288049174318280654546573772473422542675082244708331
 386    13  2^3.6563.29723.167911.679747.7967041.32685391867.2346066378779.218246094772601642186973037.6079814690946524\
            92202396647678317419649770543.1021562573902349393666967130764482193088889012711317938252390919
 387    11  2.13.431.757.4129.2199072289.308842594561.380808546861411923.269123363760531549673.912851565662857110894244\
            969.19883793469378176373136546038842994063371691807806092869125056219155739754744344670610513
 388    14  2^4.5.389.76631.459991849.503803759819.2549755542947.20591603926857377806745611.488459628280284211557312283\
            33.1209361321548310091770485682269470852086753.77449343291186907889503299808279247610860106861
 389     5  2.51349.19404514058063.15573016748048048503912224242515798000782107281721099399054521.128330704377212624059\
            19444749126850063599263479114742377376863084594289791974787092715242460058184837063283
 390    32  2^3.7.11^2.13^2.31.61.79.131.157.271.313.2341.2887.4561.6553.7333.10141.398581.797161.3701101.39838501.4194\
            37201.54975287251.3785998525531.56919999055921.110133112994711.105919308797935444986721.9813992993974897720\
            8994554331725481
 391    13  2.47.1871.17987.34511.94214579.1001523179.2837442021361921.1136310624674027548741.1720132331768569247939.72\
            643760507536226775553.947813454284697545292967550627029.911184764288845829298764189996262739860779
 392    27  2^5.5.29.41.197.491.547.1093.4019.8233.16493.16661.51157.131713.430697.647753.251325313.857643277.127522693\
            159.426712077457.34013149495921.342875768396449.41805555541893558762605109160374404856252253662207543066038\
            8662769
 393     6  2.13.263.2083574227432941258356498327796750385623056105089493677.605199588591144003100881306574406851660288\
            427740394885828171.3741247222374828182208251478581570961627187161736862769142116077118157
 394    11  2^3.9851.8714655511.24742960162351.741019334164502879.11472574961994477441469621.49676157359100536013871955\
            394289.229602870983390658750727278114059547829.58733573000937067164211172290216978734891718609
 395    12  2.11^2.5531.432853009.392038110671.145171177264407947.231040361073709413931057501.6434943291436769366927146\
            921.15726644297407162541884251721.5478828409328216056558228587181.68733921233280690592799804650571
 396    32  2^4.5.7.13.19.23.37.67.73.199.397.661.757.3851.4357.5501.25411.176419.530713.570461.3186217.337448233.24139\
            41289.4401193897.378450588583.3571691108833.13490012358249728401.12812432238302009985937.114472588217384521\
            018097943019137001
 397     5  2.366829.2233523.163396728220907574918050165329759467394476719555940685707819382394752434296939.97591205107\
            32199972181830889270079954038622589481867398458495622001921330050681686958393271650697437
 398     9  2^3.2389.5484043.1360648969.293366430131930353811221418233.110902970953020998760372036298330712066931713186\
            888935429.1689478606352600260310382688294322005349159187601803816212045717030717783562666965221
 399    15  2.13.229.1093.1597.248749.363889.368089.49279693.1068595417.1824179209.8757948941961838067.8907619982858032\
            2541.257513776243156826379279929309507.3519251098301671710969086144776026683467726820830454644076112180241
 400    31  2^6.5^3.11^2.17.41.61.101.151.193.401.1181.8951.14401.133201.391151.394201.22996651.42521761.18055139801.61\
            070817601.128653413121.61459926512826500975801.544824190843870638963432573642788127987573045007917525296390\
            86947312737201
 401     4  2.90932896832200086926891164728383761.5865500973936060729431154988451238023.1984115770854976534996754933018\
            12023986298078517112791628842392884318479086161054307752262920797067486164371020325800167
 402    18  2^3.7.13.32563.221101.275371.1089421.1351123.5390821.441019876741.5931946571197.56755588835611.475384700124\
            973.301027886874675599533.4299412981246169975118907.6068886808943203021138127723858551269077486783986224673\
            09
 403     8  2.683.102673.797161.4404047.121674645534469.14392455313096812239313539411.220915268475409541925171465736537\
            0471168168676857997421281883896411749177423871120561517300890295224461977125179137945711695818319
 404    14  2^4.5.379963.33034273.1189912513.465092326319.69531972955397.96207837407260037.5031677566801975930620296402\
            3.1017291527198723292208309354658785077827527.30031942012227933219100853982463211359125974731460998393
 405    22  2.11^2.13.109.181.433.541.757.1621.3889.4561.8209.155521.285121.927001.1190701.53825041.2820618974881.12557\
            612956332313.773618132427345151923061.914172916469459749287582742282332202451606817049644830514550362996738\
            76866846481
 406    16  2^3.59.523.547.1093.2843.6091.28537.735673.5385997.20381027.398858013926743539066881263.4789527514360119469\
            72423178548637101114935294309822847.45710553733635551271263934571653147487690442652554544220310250384660059
 407     8  2.23.3851.13097927.18354073.17189128703.1862400449807666627.11317678923573208824515629817409137832131990132\
            8456954530538039849296710674925574582600313964679099854322125957498606090030991353130370649953492691
 408    31  2^5.5.7.13.41.73.103.137.307.409.613.1021.1871.6481.12853.30091.34511.956353.49637281.129159847.1743831169.
            99810171997.6458150122561.3833564416504313.187668407555352123529.53958784909638588059956801.221200680720606\
            092053543425481471681
 409     5  2.20720759.145724851390704755159.149201935333301250525828683.1541166099877471105470762310690414692655571732\
            229852213712839041440378579810339805474536294932158495016383690431179982864627366826365925051267
 410    17  2^3.11^2.61.83.6971.31981.33703.1164811.2526913.86950696619.270547105429567.6749930086876080531836671.36897\
            86190483514868858729011531953642827230621.65601426257068882740808329269766819608728424724067187242117750270\
            751
 411    10  2.13.4933.2115829.217629707.634432753.685934341.113938829134880224954142892526477.1080818097738399951882568\
            00499141543684393035450350551.39487531149773489532096996293368370182957526257988573877031054477249393549
 412    13  2^4.5.619.3661040653.1522395676033.7625998476893.3276710054092300162911791926389341.15350907132291269099423\
            83374434289901.508998148480825018649601011436723422737.6957596529882152968992225251835887181478451547013
 413    11  2.827.1093.4957.48301177.14425532687.489769993189671059.366438032528092142507.37211143592148741542313198896\
            80078283.37698754823547437188883025448675820051387027651.715519214726922018211552045297038011880721278733
 414    25  2^3.7.13.19.37.47.139.277.757.829.1657.4969.5107.9109.132619.1476463.5724793.1001523179.23535794707.2461243\
            576713869557.7671021268285255340377531.22550950495434610373064930478243.13473835353693373055251361834950599\
            9724046176185208477
 415    11  2.11^2.167.12119.363541.1333811.1036745531.950996059627210897943351.223210122334888198292034419263747875011.
            19369107916649011127237450812954201286643736800728849846019523716378193973609005903417832164986099304190101
 416    26  2^7.5.17.41.53.193.1249.13729.398581.797161.1614913.20634017.21523361.475356961.2093124281.4795973261.37644\
            053098601.2763736726854088129.780464337846444296785447886881.4395935500723005342516341350077644752545673472\
            23143808588769
 417     9  2.13.1669.5430731.43302949.2016598657.201360112381724767096677592621.11521520111154653831769682090141712960\
            7616709798043944747.19083369866261032297456687094115197506422965885481866987401392458583087645945119190313
 418    20  2^3.23.67.419.661.1597.2851.2927.3851.8779.101917.146719.363889.99381983898121.340838185560681043030809047.
            227123983153149333776852194879434768181.347190418148396261188776988920452842129.122248739643995179286707888\
            3996125166979
 419     8  2.839.596113491371.2151506053058735838822709777.654885891476141016165461375447.1593204794095231348491880857\
            761413.496097134087521646396618935298341361.73610249666732076485411273083313900034585093256720630770971
 420    46  2^4.5^2.7^2.11^2.13.29.31.43.61.71.73.211.271.421.547.1051.1093.1181.2269.2857.4201.4561.6301.16493.24151.3\
            68089.1616161.3369031.3454081.28596961.32839661.47763361.94373861.109688713.2664097031.7035101641.267519453\
            61.374857981681.871383685710721.222665666643176401
 421     8  2.1206587.6804488281.129208238531.30289645235740564742379791.4635694062476599636809044531.10722271475553804\
            482227981559844589.231035209566171522774298861859828133801304288561900916374974326307295221185953743615097
 422    13  2^3.2111.892531.189250543.962188370639.54046656969013.5676687374958905209.1695949409060064182746451.2226023\
            3052088235975354234411.2645385196586430249915420486682565415343.2632542505267485207089071694718413144220310\
            1773
 423    15  2.13.757.1223.21997.55837.57529.5112661.27115993.35675821.96656723.161969595577.2031161085853.1653014739423\
            99079669.15020678843778663352803102218560293473232199902050785745261847636984270451949422594860523355561190\
            2905421761
 424    20  2^5.5.41.107.24169.90313.78719947.609422621.1079398849.1481588501.1135214993571937.61557605176233223.374760\
            7031112307667.460740683381672021327601001.1331247175934064574966369960667813849.105529378287347488808630393\
            9524587473513
 425    12  2.11^2.1871.8951.34511.391151.2663568851051.862970652262943171.49354957842491569509980274834655501.44553897\
            7312957153485923190322961189401.216169348543475987280139332144753377782632066592566333538938592125139194366\
            26701
 426    22  2^3.7.13.853.2131.5113.82219.210019.49682251.55126531.3099719989.12685215427.4052490063499.13055351529193.2\
            2716867932413.115264393627813.3613512804721129.89665588664737776553.84569390002476091110121.375473325748986\
            2401973357979128773
 427     9  2.1093.603901.98386025627.562686760931.84404570448444086183953.105293313660391861035901.3556068841871225054\
            499505739.2329286057996571142753569769324049004449101308981914493503119208266300496817931605189218956943488\
            19
 428    17  2^4.5.643.50077.100153.229837.582937.2827369.3096650621.481786776662041.499965737866229.4896502850504512399\
            3421250406516036571557.4375617272295428356111030724847180250451293.1033372899626168443198545169991251117442\
            00944279921
 429    15  2.13^2.23.313.3851.6553.7333.797161.2175889.2413941289.64139087689249.103304599144666396621.119801438085676\
            2535048758241151960180137876946928788681521.323534113731204978378318068661137979051980676937681189065842357\
            712133498741
 430    13  2^3.11^2.61.431.8477881.380808546861411923.82064241848634269407.14491125481091320910774351.7810539050377125\
            55192394595228515676273221687831.19033820825460531141308842244053143942436919358782529958151000711029217982\
            5245201
 431     5  2.863.31033.5327475339364876749276709275805059852090562839012167.152712569070974372968276814869829892577577\
            233150858930882521602613680106377643670456831792435681746083740506468753135041819894110877368917200677861
 432    37  2^6.5.7.13.17.19.37.41.73.97.109.193.433.577.757.769.2161.6481.8209.15121.19441.19927.530713.1155169.105122\
            89.16569793.1418632417.282429005041.3958044610033.56227703611393.150094634909578633.43935457587280787548813\
            5640535450946467869814072650387452813889
 433     6  2.218233.7945316512501413421855357.6152250713758461148996890901.3336469615060863393363305195427888169.55096\
            05113468587985989709473521119599115348370079573875615516338579375394501280894742953521013499660416931490049
 434    21  2^3.547.683.1093.1303.6883.20399.89839.102673.174469.4404047.35258161.22434744889.24040333283.1023879682351.
            70961158264970285776591.20545698698839917414079969.1940480029609649121651152163853.504269775789719758393777\
            4496999119335532852173
 435    15  2.11^2.13.59.4561.28537.74821.20381027.32234893.34118036879281.150224123975857.221485711052594564349712441.
            183349688798536618131199274872809217263632838323547361.1428042968182347874267022273768575612161397929198929\
            3633695699460761
 436    17  2^4.5.1091.2617.5233.521402591.1992772009.3499901929.239789806103.5933538193981.7696680097963.2786647145801\
            2723.10624346875389299603.751413635152391220555020028806404277682678388634430663962506269690398417622699238\
            580739045812809
 437     9  2.47.1597.363889.1001523179.4400140239259780643.15627149386345831933.76907777590720989373489360682236534152\
            419285175538746028263539.1098017006028929888855549779277219035239782726773309846731159433030147796298239360\
            70205429
 438    17  2^3.7.13.439.877.11243.20149.135781.741973.15768033143.9460375336977361.91088487902952698797983939757.11009\
            154363058726777293427189333.38488154120055537150068589763279.2587741161535425204771363976763072254792575423\
            514277924289333901
 439     3  2.32983465912566571821412548179.433415597871486839396408243898705901741664928350171699266980506417087549335\
            5681748852923207955496581433458678701061278804022885632989325890501016600979050287186862395092585056490727
 440    33  2^5.5^2.11^3.23.41.61.67.89.661.1181.1321.3851.5501.7481.15401.131561.177101.570461.659671.2382953.42521761.
            56625998353.24472341743191.560088668384411.927319729649066047885192700193701.145912953057187035194626723044\
            1980296015896719783440814558211961
 441    16  2.13.491.757.1093.4019.8233.47041.51157.131713.368089.144542918285300809.2204277929951182849.25439596910390\
            1649521223867932173929.407888431426111186599600583446287711634101230416829.19087473581632465561816017529582\
            96681964585731358509
 442    15  2^3.103.307.443.1021.1871.34511.398581.506533.797161.278300881.38291029364836856831424803165890258169691293\
            0968697755668745106402680464935197.609236895843427913986429071848083863065602068075472435706971952249065042\
            37067588551869427
 443     7  2.887.298583.44457709.213177803.390355659722294750130893336921796605704706384999468007429366020985184398525\
            16325639.11818098533703919016403146022864786027087393372528074416400939443017094729942181065416007291329067\
            9762501
 444    26  2^4.5.7.13.73.149.223.9769.18427.107671.953861.13097927.18702169.25709599.56737873.78539161.119779213.17189\
            128703.4010575301861137.64326272436179833.6962353413269964253.142659759801404920771391593.14373616515152387\
            435471235475346778247660988205097
 445     9  2.11^2.179.477126751861.1611479891519807.2912333801178961.5042939439565996049162197.42609495443374238322599\
            86570617342593308855562082873445013502354789123262287300531099684181830373680822364518652927607309234768291\
            14447283341
 446    11  2^3.19849231.249693347977.3619936401181.2784009098113351.54473097204950819531444809.13055995693262699864544\
            5231983.958622379976383445846399048057.22952380658301916075732814003503996599509015436678095775646105495221\
            8263816107757
 447     7  2.13.7451.17881.177941761.46509804063632583432467217805311362636553293639540930405531.654332890513056527036\
            65317950576539948799062188120913556948520574705901497633467458024310257123083301111965286180812279845547835\
            150862841
 448    36  2^8.5.17.29.41.113.193.449.547.1093.8513.14561.16493.19489.45697.101921.430697.643553.647753.21523361.67765\
            601.378369377.5685756833.31539199370561.926510094425921.1269624189254401.3356086147916993.36214795668330833.
            78812114368716810943784460929180054401921
 449     5  2.14112071.88173395548188366438189921318359.430763314083559275178358410713636609779704909657.15748759298706\
            35806941143296702098899195241998434202574290842681815209692396601498821412394570503662857538484870362702528\
            1967817
 450    40  2^3.7.11^2.13.19.31.37.61.151.181.271.601.757.1621.1801.2551.4561.8951.9601.26251.116101.119101.387631.3911\
            51.755551.875701.927001.1530601.16985251.22996651.697381651.1988005951.2098303812601.286870274711101.515009\
            259868501.119634969443826601.42371780936823290675409648751
 451    11  2.23.83.3851.47807.2526913.6704567.86950696619.5295342260891.9183412117682309234428195579372695474479792771\
            904536038283293309153.3017537971282698424088911000106326615088067457781097937308901590111817981796430991503\
            116305216044923
 452    15  2^4.5.227.1583.2713.362053.2172539.156472231.798087896392921.3626038130651680583578933430931295416667.52625\
            6453012063980796131127321354599535039.311819340325200842176838320522804534267215982160948710264929322874124\
            48715951254226575121
 453    11  2.13.1511.6263783.2689557037.20851551949.64745079361.8824691215488669109.2210252986790978093597221.90567323\
            0703550690601003473107008473103084254587061.866392982243110329506747642440412462049487308212690932497766330\
            89611081566420777
 454    12  2^3.28603.31327.1533148921.19907051929.28279305227149.75743328083517433389294793.86695423725589885803695742\
            296342497463.172082606697351874048297611535769781027854439065671.586802158643368690388409871761484798763798\
            234696414454735059
 455    17  2.11^2.71.131.911.1093.797161.3701101.2664097031.4011586307.386134706231.110133112994711.374560381200716611\
            6831643.2478098909059595945200318151.1435809872133506127696992748549282318301.30729113113129906553843612373\
            5369861252252196301817770811
 456    33  2^5.5.7.13.41.73.229.457.761.1597.2281.2851.3079.6481.7753.31769.53923.101917.248749.363889.3302353.5301533.
            1162320517.1824179209.2842147681.25480398173.278733912072436804273.3093009324389492947932121.18077653395002\
            3615512581213250961424241188445230823450340161
 457     6  2.176540143789.10976741555411.790112768389761097.44526916528666152642757247913322427.8123717166089813844230\
            99544594575087687671170144930002817266053066499936779329863964081885173340193288945270735154611565954216929\
            390386634381
 458    11  2^3.169003.8047106008391.32356561399076305309.284663996630519253661.634538541879036040523.40321764173278948\
            14764968543.193795952251956993033428990650021813.6687647908578461742138874761344368836476346895660711882056\
            203031780621192649
 459    19  2.13.109.433.757.1871.3673.8209.12853.34511.6213394261.35106034213.99810171997.230736771829.889501314241.11\
            786772814775877294179029.28090626041813012073462457.122217754676326531200106433310349.237184194984312110834\
            618471010127766721975510570408853
 460    24  2^4.5^2.11^2.47.61.461.1181.5521.6211.48991.1975931.12553493.1001523179.23535794707.6273542442241.706013706\
            27701.52370346649565455417091.4232020527831352569905247101633701.410555896489454367911451694902888327439062\
            520617487489434228212270877900095381
 461     6  2.11987.118164568780375261.1203473922272303966282236445337792145487543.186956609639528267596977610856740554\
            1557601722844515411421.140764500143083865240927928738596259054982918940592361011878437142895532256100100300\
            9596883643937181
 462    30  2^3.7^2.13.23.43.67.463.547.661.1093.2269.3697.3851.10627.25411.176419.368089.51457561.910237483.2413941289.
            7151459701.73155606217.76831835389.242613305580091909.1286903793030368825203123.564953929331012222758610533\
            69.9592974016403852681107579746773665955769529
 463     6  2.11113.83341.155569.1767202459333.158566540324807336624291151109588924134943739842214499340862616907923028\
            63896121335692128567135293497086203118803048451731697637626989944939576205592335304886391896963672266065034\
            8542739110736893
 464    22  2^6.5.17.41.59.193.233.523.4177.6091.12413.28537.5385997.20381027.37945127666529000523013.27799136038100366\
            1564752468378981135693842991081.750058036922377719662632185976753622337635735186716277523152026314147949439\
            36230892856033348210577523701441
 465    17  2.11^2.13.311.683.1117.4561.102673.146941.4307761.4404047.3586225081.6184582891232396881.262737018440153191\
            44827917.1078579799806668629607014283525941686969924751.118660477696550743407400367063250368035642756835274\
            7371101449508522634194743965204661
 466    11  2^3.467.1399.6991.27599172691870182517.6354979252162209284471.38247482016765032274959.235663554277284144371\
            286817356030779989411991.3774290654627512967320328120515811713328833457497967784200223832669041890953457675\
            8414803319903938299809
 467     3  2.27836167022857.117486110083387104224970795778089812365621790586081132422616299999637094159374539049651593\
            61878360023973874333731456723291974443394474539709488153807237427062351558715754667948306350956707458339374\
            7895590106949
 468    37  2^4.5.7.13^2.19.37.53.73.79.157.313.757.937.1171.2887.6553.7333.10141.37441.325729.398581.530713.797161.216\
            1927.4162861.43264261.1846794457.4795973261.6079786129.5589928324657.271722723752757889.2821964307371847613.
            90917978520755690977229840712892655687776579374353542513
 469     7  2.1093.221101.441019876741.475384700124973.1306456857231927329331341682365113787.44466112522374646798081971\
            81689296835533201064894175344902081565385710313133031837527534439902170325330046794362526087737495310160751\
            95227550658848605307
 470    22  2^3.11^2.61.1223.5171.16921.21997.256057.5112661.11321831.96656723.1287586151.1534179947851.717838945155421.
            1641374046359401.7061686540772491.30168205545535224185322498361.1816324897099196693903839041516429235091.98\
            4743307245363285977763833773659863079671
 471     8  2.13.9421.3381925092493.9891109125337566719.1283810768507270931382867729773882314783.9523299196159010516161\
            5580822336892311998189163571236402837.528863020145091859767657897912602516632385670379974076333262698505030\
            222897440948635979693
 472    16  2^5.5.41.3187.87793.14425532687.66454972460489.489769993189671059.1108439448677340328268341.790240155594416\
            54878348076969.19966781110160346782368664772328944885905284750420567849.10545223652633908977093491249521112\
            35000368717671129413647298417
 473    10  2.23.431.947.3851.1815542308537.380808546861411923.1261183235795048844037.201972084490941146836006403755873.
            37446590792434528231273225981178574727945036559757730469213522223797729104885688168551165434371640321068631\
            0843725890035278728137551
 474    18  2^3.7.13.14221.66361.2275201.37520893.432853009.327220181191.392038110671.145171177264407947.56723906033115\
            0635317.217536018992883276988362961.52802131282482966001751707837.49269609804781974450852068861184694669.94\
            251934933904430405353683133566414129
 475    12  2.11^2.191.1597.8951.363889.391151.2057701.4490080243969653901.78958087694609321439660131899631.62549583228\
            04352679454426610784875428909446213826794575706965168724053601923298769797488917114555557645391967264570339\
            71587954540387182827268070001
 476    23  2^4.5.29.103.239.307.547.1021.1093.1871.16493.34511.956353.7719769.1743831169.44626806191326911791.71957526\
            3747470241217.397881837642577477902049.1098440018152695917905622020432593239209.625118109379324526954577234\
            45854322528727083248054875094358930010533313
 477    11  2.13.107.757.24169.39365302681.712550912937217.3747607031112307667.954458120492216837136711901.405596078272\
            24525043263763418498193.18646299213986922722063408596189213006828120704950737846244078701255346686496601036\
            96688345824700230048831794221
 478    11  2^3.479.14341.17209.170647.42124768369936320790693.43301964055635533333945745533106128044213.15078256924371\
            33671959981388935564985777556063472074560073441273431.26103832093870523729178649072277434886452736105935719\
            94588261034578119490689610597
 479     6  2.2017549.52133736060349.257620598280719473.10332092185328194888766505728921146249.620782146290142543384502\
            31476585288671715680809647573038216937516562322611117652448025018011788433842266524025543394386602939952443\
            83558964789624885773829
 480    44  2^7.5^2.7.11^2.13.17.31.41.61.73.97.193.241.271.577.769.1181.4561.4801.6481.13921.14401.76801.298801.819472\
            1.21523361.26050081.42521761.47763361.700984481.24127552321.128653413121.3875067470401.597747428754241.5138\
            3579021948491809121.3042575372348614988773283015748245387405170764481
 481     7  2.709957.797161.13097927.17189128703.772164427380203166258004598008121532652933.158982461311404178484994165\
            72939665483338069196016873341338350044012507965866383584787170414344414794959166695575900682190838310675210\
            6064552411201072600059081
 482    11  2^3.4339.281971.1837867.43195076631439.48557382169494007737217333.553788718707122198751861425724478919.5135\
            28685176963382145712840980797011446570599369548395104801.87467816937592208369605795743215156515970801809891\
            31549946798109975686695403479
 483    11  2.13.47.277.1093.368089.1001523179.2461243576713869557.696032619727190918566594730968478467309.636961216046\
            002471921398696960338364910115196955450597747751689.1891837675432375824715078673441555716582901535943839677\
            247586350827404439827130873262709
 484    20  2^4.5.23.67.661.727.2179.3851.5501.11617.34849.74779.570461.3981923614021.657890411545272648205502849240259\
            841.256900099994436377787031292704214632407889.265757615159767857192523029918424207940538495169199586126890\
            01129685045710645386181629135521334753689
 485    11  2.11^2.971.76631.145501.2549755542947.22836387874896451734446934241.48845962828028421155731228333.163135411\
            964857917127880147033711.2084493753227179455801079624667972186867821650016339468342724266430726829613923114\
            459217090984982404639100142930001
 486    34  2^3.7.13.19.37.109.163.433.487.757.1297.3889.8209.19441.19927.59779.70957.208657.224209.572023.1190701.2051\
            893.5062663.6627097.859270843.1319934691.5879415781.8638915776957163.12557612956332313.116004991998176173.2\
            1835473162448454819220238921.19149704835029612299033896988868835457
 487     4  2.12364016389.870250716374636481172397688250744935344421236524471557980004227913123906687196026086432880299.
            10597833479235559918525403945134618228490636831207869210699694603939639202469334819409888546134588762987024\
            46373118701075405804163
 488    21  2^5.5.41.367.2441.180317.603901.123450337.262199473.740767954561.1206708060834097.39504363995133913.1052933\
            13660391861035901.86630432442539925437931403.865923475887669700104067517.4100906420054031805880028751022497.
            2887672788864526935723044124771464240149097
 489     7  2.13.107581.5227348213873.8882811705390167.6351885141964057411259499526611848626072045955243.24879984727675\
            01120519871818305554760112258297437457690889886964157009269122423985704395925964922959410448009886539842494\
            95592713645064331019158574269
 490    22  2^3.11^2.61.71.491.547.1093.4019.8233.32341.51157.131713.174931.857643277.2664097031.127522693159.374857981\
            681.819789872274420135934308710915667205517989021684165907428156482710442517771.443015297753685907218113465\
            7493233649089245714747389001639572141363110009421
 491     6  2.983.24551.844124016018569089.155447385335258570051.291671294798796604878293546257685321758532280277228977\
            62549900187420390440863742729994084819590929744935499928393599536070261859109667222044529282134483386887233\
            6858053772611074999511585279
 492    27  2^4.5.7.13.73.83.33703.51169.195817.336529.2088869.2337001.2526913.40049539.65765641.110767897.86950696619.
            130099576237.15606752580607.270547105429567.574933708017116710865237.4221482364108929706493417.132503084893\
            8708240100056035230681.1999827817517387044561568810795329
 493     9  2.59.1871.28537.34511.20381027.135769072957854733.24461879114558805437371311641297107167592931037239137.112\
            96403337640561772944396664047002558281073734158769701652967263171750204325738353474355306230662844935074720\
            43821204220698159646195998669797221
 494    17  2^3.1597.2851.8893.14327.101917.363889.398581.797161.50427403417.74154686428369.85336889516918333646696709.
            62568550770275094093451149019411003.369476220428186089341915116367656782556038282175311.1236349783161703361\
            37330788562343247835605751304272686452015331
 495    22  2.11^3.13.23.181.757.1321.1621.3851.4561.50821.927001.3186217.35669701.2413941289.560088668384411.128124322\
            38302009985937.4183739978746243239852385111562221.37073055770742955860149669357943581889942083408919721.253\
            5780163733034855894105623350204349166417440513207461
 496    23  2^6.5.17.41.193.683.6883.102673.4002721.4404047.1403808961.2860659169.9500438809.22434744889.400317813041.8\
            1516726600079249.21775844224805408923066692226998392022049.201499841689806235999573960554136293197502456301\
            8664763584750145606194022873108978627878951607441
 497    10  2.1093.3984424151.432547838166529.1309567972706389369.428692823469180744251.13872998573921896220953.3754733\
            257489862401973357979128773.785010913523701739507985671014620709.155709225423242953432798397650678139445827\
            38042872258948974931245211402779405977
 498    21  2^3.7.13.167.499.997.1993.12119.2466097.57957241.1036745531.9839624437.6598368647023.35882730354181.3511321\
            676267937799.950996059627210897943351.86403140093637169935826717.813201725710097952736361977.34142824805895\
            306910049388733099885392736741124752323542369498869
 499     7  2.1919016277.716332093275045781.114551315779689543877.32242867762626707702019834661.12428295284327794081967\
            47984311772979.96036811970195228956569794936485063987406684966844716333719315010930626967071078378251602133\
            1864389039678425715830735791416143
 500    31  2^4.5^4.11^2.61.101.151.251.1181.2251.3001.8501.8951.100501.391151.394201.22996651.358291751.14781691751.61\
            070817601.391632555001.124254307278001.989947158849251.2278135721427929786778229917312351656251.16758435627\
            223658802353128980509765910556138571016687543698189838663420001
 501    12  2.13.58451.88177.218437.1767863.4769521.10063060897082377.777324624268955461.12015367658187607573.260551495\
            718621260054268273374657473120059796409.1804742582340457175880132367105462702378888588144854960545772581836\
            4827577412186495001649248973416847955397069
 502    10  2^3.503.6936751667531821.2538098416666589323.1037789051490064084073309914577355481.589499616250914885236525\
            7446042626007.7827106682579353454586455820604929605088899469769.9646137032614048013727574259459010287533103\
            1471807256393566286296975030226677613
 503     6  2.7043.12073.30311006351.41692265961952424506975231211.4568066149208161495893174874794755083618117331695258\
            15418421673986804544433198041456868771065635858042962677918896720564963484945079523277021054452092724096988\
            0469347529978454185846934968086547
 504    45  2^5.5.7^2.13.19.29.37.41.43.73.127.337.547.673.757.883.1009.1093.2269.2521.2857.6481.12097.16493.167329.368\
            089.430697.530713.647753.1180369.2153089.109688713.550554229.2108826721.282429005041.475110761833.402265704\
            08250073.144542918285300809.123922438035505085089.157243204166401132322379527929296163393
 505    10  2.11^2.205031.33034273.465092326319.3732938536661701.50316775668019759306202964023.276878587446880592989075\
            966008807841.2228649624800662806166663959143408041198120691112419515511481767949075997609965425396860827381\
            05614139306146302798900746224175257953131
 506    16  2^3.23^2.47.67.661.3851.7591.1001523179.23535794707.25918707093150367.38636905168680714294388463.6947956054\
            50302885931482069023906496640308871072578393444435496767723247212161.62762465859932446734336565103700733239\
            20470321481093106313258644236138754388405068097
 507    16  2.13^3.313.2029.6553.7333.797161.2624233.163264150141.580460684077.13956160423453.5242148588473376340853.81\
            4222556753878193601980463083668707558864014894642043902929.502154508456926005503569730296771311706558898499\
            87540192248365183808783371960083736540519703553
 508    18  2^4.5.509.3049.5843.22861.63247.681229.10641077.21520151.52147471.76082653.30151531575230087423656423559135\
            7673.13030796206528578864006320088875125740738871.935271943091350779723747071108619914872920501772803490496\
            34013547595419335024897303610313266356016085200881
 509    10  2.1019.7127.54973.97729.14495303.324927277.59561824373572167761652488341.1408323592065265621229603282020508\
            687.2321404946852574407463368383953127746140259615234678007610408233057803930650588927817902650339528272898\
            9110957696917932365850935308873749615837273
 510    31  2^3.7.11^2.13.31.61.103.271.307.613.1021.1531.1871.4561.12853.30091.34511.224401.443701.129159847.214169911.
            99810171997.2663568851051.94428036319693051.862970652262943171.13271362257832586268931.10261476110423541731\
            07500256241.16960184261245211770124551477792778196298722974881637673135361
 511    10  2.1093.11243.20149.16347913.2429424817.15768033143.9460375336977361.2126913191482456609.1032223777785650022\
            46343436842654284434572145871929339868618480143288601738934890057915534856690535790770400373391495115875178\
            1365585756130540287814013820520585737187281609
 512    27  2^11.5.17.41.193.257.12289.275201.8972801.21523361.138424618868737.926510094425921.3913786281514524929.1538\
            49834853910661121.891206124520373602817.1716841910146256242328924544641.70727526474930988140514196580267154\
            8079179711820351316861777644606207216944972589404100097
 513    14  2.13.109.229.433.757.1597.8209.119701.248749.363889.1824179209.27203787889921135221329070240968055313746007\
            669.3866023273561859893844085792667050100420842002481660212116957876481096523157877056505897790141402156108\
