Factorisations Of Cunningham Numbers C-(3,n) = 3^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
 114    15  2^3.7.13.229.1597.2851.3079.53923.101917.248749.363889.1162320517.1824179209
 115     8  2.11^2.47.1975931.1001523179.6273542442241.52370346649565455417091
 116    13  2^4.5.59.523.6091.12413.28537.5385997.20381027.37945127666529000523013
 117    11  2.13^2.313.757.6553.7333.797161.4162861.1846794457.2821964307371847613
 118     7  2^3.3187.14425532687.489769993189671059.1108439448677340328268341
 119     7  2.239.1093.1871.34511.44626806191326911791.397881837642577477902049
 120    24  2^5.5^2.7.11^2.13.31.41.61.73.241.271.1181.4561.6481.298801.26050081.42521761.47763361
 121     6  2.23.3851.11617.3981923614021.657890411545272648205502849240259841
 122     7  2^3.367.603901.105293313660391861035901.86630432442539925437931403
 123     7  2.13.83.51169.2526913.86950696619.1999827817517387044561568810795329
 124    13  2^4.5.683.6883.102673.4404047.1403808961.2860659169.9500438809.22434744889
 125    10  2.11^2.251.8951.391151.358291751.14781691751.391632555001.989947158849251
 126    19  2^3.7^2.13.19.37.43.127.547.757.883.1093.2269.2521.368089.550554229.144542918285300809
 127     6  2.5843.681229.21520151.76082653.301515315752300874236564235591357673
 128    16  2^9.5.17.41.193.21523361.926510094425921.1716841910146256242328924544641
 129     7  2.13.431.4129.2199072289.380808546861411923.912851565662857110894244969
 130    12  2^3.11^2.61.131.398581.797161.3701101.110133112994711.105919308797935444986721
 131     3  2.263.605199588591144003100881306574406851660288427740394885828171
 132    18  2^4.5.7.13.23.67.73.661.3851.5501.25411.176419.570461.2413941289.13490012358249728401
 133     6  2.1093.1597.363889.8757948941961838067.257513776243156826379279929309507
 134     8  2^3.221101.5390821.441019876741.475384700124973.4299412981246169975118907
 135    15  2.11^2.13.109.181.433.541.757.1621.4561.8209.927001.53825041.773618132427345151923061
 136    17  2^5.5.41.103.137.307.1021.1871.34511.956353.1743831169.6458150122561.3833564416504313
 137     4  2.4933.217629707.108081809773839995188256800499141543684393035450350551
 138    15  2^3.7.13.47.139.277.5107.9109.132619.1476463.1001523179.23535794707.2461243576713869557
 139     4  2.1669.5430731.115215201111546538317696820901417129607616709798043944747
 140    20  2^4.5^2.11^2.29.61.71.547.1093.1181.16493.28596961.32839661.94373861.2664097031.374857981681
 141     9  2.13.1223.21997.5112661.96656723.161969595577.2031161085853.165301473942399079669
 142     9  2^3.853.2131.82219.3099719989.4052490063499.3754733257489862401973357979128773
 143     5  2.23.3851.797161.1198014380856762535048758241151960180137876946928788681521
 144    24  2^6.5.7.13.17.19.37.41.73.97.193.577.757.769.6481.530713.1418632417.282429005041.56227703611393
 145     7  2.11^2.59.28537.20381027.183349688798536618131199274872809217263632838323547361
 146     9  2^3.439.11243.20149.15768033143.9460375336977361.38488154120055537150068589763279
 147    11  2.13.491.1093.4019.8233.47041.51157.131713.368089.254395969103901649521223867932173929
 148    13  2^4.5.149.18427.107671.953861.13097927.56737873.17189128703.142659759801404920771391593
 149     4  2.7451.177941761.46509804063632583432467217805311362636553293639540930405531
 150    22  2^3.7.11^2.13.31.61.151.271.601.2551.4561.8951.9601.26251.119101.391151.1530601.22996651.2098303812601
 151     5  2.1511.6263783.64745079361.905673230703550690601003473107008473103084254587061
 152    17  2^5.5.41.761.1597.2851.31769.101917.363889.3302353.5301533.25480398173.278733912072436804273
 153    10  2.13.757.1871.12853.34511.6213394261.35106034213.99810171997.28090626041813012073462457
 154    13  2^3.23.67.547.661.1093.3851.51457561.7151459701.76831835389.56495392933101222275861053369
 155     9  2.11^2.311.683.102673.4404047.3586225081.1078579799806668629607014283525941686969924751
 156    22  2^4.5.7.13^2.53.73.79.157.313.2887.6553.7333.10141.325729.398581.797161.4795973261.271722723752757889
 157     5  2.9421.3381925092493.9891109125337566719.1283810768507270931382867729773882314783
 158     9  2^3.66361.432853009.327220181191.392038110671.145171177264407947.567239060331150635317
 159     7  2.13.107.24169.712550912937217.3747607031112307667.40559607827224525043263763418498193
 160    23  2^7.5^2.11^2.17.41.61.193.1181.14401.8194721.21523361.42521761.700984481.128653413121.597747428754241
 161     5  2.47.1093.1001523179.636961216046002471921398696960338364910115196955450597747751689
 162    21  2^3.7.13.19.37.109.163.433.757.1297.3889.8209.19441.19927.208657.224209.1190701.5879415781.12557612956332313
 163     4  2.5227348213873.8882811705390167.6351885141964057411259499526611848626072045955243
 164    13  2^4.5.83.33703.2088869.2526913.110767897.86950696619.270547105429567.574933708017116710865237
 165    13  2.11^3.13.23.1321.3851.4561.50821.2413941289.560088668384411.4183739978746243239852385111562221
 166    11  2^3.167.499.997.12119.2466097.1036745531.950996059627210897943351.813201725710097952736361977
 167     6  2.58451.88177.1767863.10063060897082377.260551495718621260054268273374657473120059796409
 168    28  2^5.5.7^2.13.29.41.43.73.337.547.673.1009.1093.2269.2857.6481.16493.167329.368089.430697.647753.109688713.2\
            108826721
 169     5  2.2029.797161.163264150141.814222556753878193601980463083668707558864014894642043902929
